date,matchday,home_team_id,away_team_id,home_score,away_score,winner
2025-10-24 19:00:00+00:00,9,10,11,2.0,1.0,HOME_TEAM
2025-10-25 14:00:00+00:00,9,8,4,1.0,2.0,AWAY_TEAM
2025-10-25 14:00:00+00:00,9,20,19,2.0,1.0,HOME_TEAM
2025-10-25 16:30:00+00:00,9,9,3,4.0,2.0,HOME_TEAM
2025-10-25 19:00:00+00:00,9,14,1,3.0,2.0,HOME_TEAM
2025-10-26 14:00:00+00:00,9,13,7,2.0,0.0,HOME_TEAM
2025-10-26 14:00:00+00:00,9,2,12,1.0,0.0,HOME_TEAM
2025-10-26 14:00:00+00:00,9,16,17,1.0,0.0,HOME_TEAM
2025-10-26 14:00:00+00:00,9,6,15,2.0,3.0,AWAY_TEAM
2025-10-26 16:30:00+00:00,9,18,5,0.0,3.0,AWAY_TEAM
2025-11-01 15:00:00+00:00,10,3,10,3.0,0.0,HOME_TEAM
2025-11-01 15:00:00+00:00,10,17,14,2.0,0.0,HOME_TEAM
2025-11-01 15:00:00+00:00,10,15,16,0.0,2.0,AWAY_TEAM
2025-11-01 15:00:00+00:00,10,19,6,3.0,0.0,HOME_TEAM
2025-11-01 15:00:00+00:00,10,7,9,2.0,2.0,DRAW
2025-11-01 17:30:00+00:00,10,5,8,0.0,1.0,AWAY_TEAM
2025-11-01 20:00:00+00:00,10,1,2,2.0,0.0,HOME_TEAM
2025-11-02 14:00:00+00:00,10,11,20,3.0,1.0,HOME_TEAM
2025-11-02 16:30:00+00:00,10,12,13,3.0,1.0,HOME_TEAM
2025-11-03 20:00:00+00:00,10,4,18,1.0,1.0,DRAW
2025-11-08 12:30:00+00:00,11,5,9,2.0,2.0,DRAW
2025-11-08 15:00:00+00:00,11,18,19,2.0,0.0,HOME_TEAM
2025-11-08 15:00:00+00:00,11,11,15,3.0,2.0,HOME_TEAM
2025-11-08 17:30:00+00:00,11,4,16,2.0,2.0,DRAW
2025-11-08 20:00:00+00:00,11,8,6,3.0,0.0,HOME_TEAM
2025-11-09 14:00:00+00:00,11,2,13,4.0,0.0,HOME_TEAM
2025-11-09 14:00:00+00:00,11,17,3,0.0,0.0,DRAW
2025-11-09 14:00:00+00:00,11,14,20,3.0,1.0,HOME_TEAM
2025-11-09 14:00:00+00:00,11,7,10,3.0,1.0,HOME_TEAM
2025-11-09 16:30:00+00:00,11,12,1,3.0,0.0,HOME_TEAM
2025-11-22 12:30:00+00:00,12,15,8,0.0,2.0,AWAY_TEAM
2025-11-22 15:00:00+00:00,12,13,11,2.0,2.0,DRAW
2025-11-22 15:00:00+00:00,12,3,14,2.0,1.0,HOME_TEAM
2025-11-22 15:00:00+00:00,12,19,4,1.0,0.0,HOME_TEAM
2025-11-22 15:00:00+00:00,12,1,7,0.0,3.0,AWAY_TEAM
2025-11-22 15:00:00+00:00,12,6,17,0.0,2.0,AWAY_TEAM
2025-11-22 17:30:00+00:00,12,20,12,2.0,1.0,HOME_TEAM
2025-11-23 14:00:00+00:00,12,10,2,1.0,2.0,AWAY_TEAM
2025-11-23 16:30:00+00:00,12,16,5,4.0,1.0,HOME_TEAM
2025-11-24 20:00:00+00:00,12,9,18,0.0,1.0,AWAY_TEAM
2025-11-29 15:00:00+00:00,13,4,13,3.0,2.0,HOME_TEAM
2025-11-29 15:00:00+00:00,13,14,15,3.0,1.0,HOME_TEAM
2025-11-29 15:00:00+00:00,13,12,10,3.0,2.0,HOME_TEAM
2025-11-29 17:30:00+00:00,13,18,20,1.0,4.0,AWAY_TEAM
2025-11-29 20:00:00+00:00,13,5,19,1.0,2.0,AWAY_TEAM
2025-11-30 12:00:00+00:00,13,17,9,1.0,2.0,AWAY_TEAM
2025-11-30 14:05:00+00:00,13,2,6,1.0,0.0,HOME_TEAM
2025-11-30 14:05:00+00:00,13,7,3,0.0,2.0,AWAY_TEAM
2025-11-30 14:05:00+00:00,13,11,1,0.0,2.0,AWAY_TEAM
2025-11-30 16:30:00+00:00,13,8,16,1.0,1.0,DRAW
2025-12-02 19:30:00+00:00,14,13,18,0.0,1.0,AWAY_TEAM
2025-12-02 19:30:00+00:00,14,19,12,4.0,5.0,AWAY_TEAM
2025-12-02 20:15:00+00:00,14,20,5,2.0,2.0,DRAW
2025-12-03 19:30:00+00:00,14,3,2,3.0,4.0,AWAY_TEAM
2025-12-03 19:30:00+00:00,14,16,14,2.0,0.0,HOME_TEAM
2025-12-03 19:30:00+00:00,14,15,17,0.0,1.0,AWAY_TEAM
2025-12-03 19:30:00+00:00,14,6,7,0.0,1.0,AWAY_TEAM
2025-12-03 20:15:00+00:00,14,1,4,1.0,1.0,DRAW
